2PT6051500071  ;S1177  ;007100;COZINHA INOVA -PORTA 605X512X15E TEKA ART.                  ;PI;UN;34                  ;605;512;15;51654
2FG3961500031  ;S1179  ;003100;COZINHA INOVA - FACHADA GAVETA 160X396X15E  TW              ;PI;UN;34                  ;160;396;15;51491
2FG3961500042  ;S1179  ;004200;COZINHA INOVA - FACHADA GAVETA 160X396X15E  CVIZ            ;PI;UN;34                  ;160;396;15;51492
2FG4461500031  ;S1180  ;003100;COZINHA INOVA - FACHADA GAVETA 160X446X15E  TW              ;PI;UN;34                  ;160;446;15;51493
2FG4461500042  ;S1180  ;004200;COZINHA INOVA - FACHADA GAVETA 160X446X15E CVIZ             ;PI;UN;34                  ;160;446;15;51494
3BAOHPEM00002  ;Q823   ;000300;LONG. LONGITUDINAL DIR 1999X114,5X25  TABACO/TABACO         ;PI;UN;00                  ;1999;114,5;25;11777
2PT4461500042  ;S1073  ;004200;COZINHA INOVA PORTA 440X595X15 CVIZ                         ;PI;UN;34                  ;440;595;15;51650
2PT4461501042  ;S1072  ;004200;COZINHA INOVA PORTA 440X695X15 CVIZ                         ;PI;UN;34                  ;440;695;15;51651
2PT4401501042  ;S1075  ;004200;COZINHA INOVA PORTA 440X346X15 CVIZ                         ;PI;UN;34                  ;440;346;15;51649
2MD9001800040  ;R1002  ;004000;MOLDURA MESA UP 900X45X18E CVMZ                             ;PI;UN;01                  ;900;45;18;51522
2MD9001800041  ;R1002  ;004100;MOLDURA MESA UP 900X45X18E CVDK                             ;PI;UN;01                  ;900;45;18;51523
2MD9001800042  ;R1002  ;004200;MOLDURA MESA UP 900X45X18E CVIZ                             ;PI;UN;01                  ;900;45;18;51524
2MD9001800071  ;R1002  ;007100;MOLDURA MESA UP 900X45X18E TKAR                             ;PI;UN;01                  ;900;45;18;51525
2PT1371500042  ;S1192  ;004200;COZINHA INOVA - PORTA REV 1370X346X15E CVIZ                 ;PI;UN;34                  ;1370;346;15;51655
2PT1371500031  ;S1192  ;003100;COZINHA INOVA - PORTA REV 1370X346X15E TAB. WENGE           ;PI;UN;34                  ;1370;346;15;51656
